Unique code,Divisi,Tahun,Bulan Pengamatan,Kawasan,Varietas Tebu,Bulan Tanam2,Nama Blok,Tanggal Pengamatan,Luas Tanah,Bulan Tanam,Tahun Tanam,Category Tanam,Category,Umur,Stem Borer,Top Borer,Scale Insect,Dosis pias,Dosis lalat,Dosis telenomus,Dosis Tetras,Dosis cecopet,stem_borer_label,top_borer_label,kutu_perisai_label,Curah hujan (mm),Kategori Luas Tanah
III20228RGM 01-12065,III,2022,8,8.0,R06,5,80 TU 28,2022-08-18,6.04,2022-05-01,2022,RC1,RC1,3,0.0,0.0,0.0,5,0,0,1000,0.0,Green,Green,Green,164,Medium
V20228RGM 02-1085,V,2022,8,7.0,R08,5,114 BU 21,2022-08-18,6.22,2022-05-01,2022,RC2,RC2,3,1.16,3.39,0.0,5,5,0,103,10.1,Green,Red,Green,234,Medium
III20228GMP 55,III,2022,8,8.0,GMP 5,5,76 TU 16,2022-08-18,3.49,2022-05-01,2022,RC1,RC1,3,0.0,0.0,0.0,5,5,10,1000,0.0,Green,Green,Green,164,Small
III20228RGM 02-1085,III,2022,8,7.0,R08,5,68 TU 18,2022-08-18,6.8,2022-05-01,2022,RC1,RC1,3,0.0,1.76,0.0,5,5,10,90,0.0,Green,Red,Green,164,Medium
III20228RGM 02-1085,III,2022,8,7.0,R08,5,63 TU 18,2022-08-18,3.08,2022-05-01,2022,RC1,RC1,3,2.08,0.51,0.0,5,5,10,90,0.0,Red,Green,Green,164,Small
I20228RGM 02-1085,I,2022,8,6.0,R08,5,57 BU 27,2022-08-18,2.15,2022-05-01,2022,RC2,RC2,3,8.16,2.64,0.0,5,5,11,0,0.0,Black,Red,Green,143,Small
VI20228RGM 01-12065,VI,2022,8,15.0,R06,5,178 TU 63,2022-08-19,5.62,2022-05-01,2022,RC1,RC1,3,1.12,0.55,0.0,5,0,0,0,0.0,Green,Green,Green,137,Medium
VI20228RGM 02-1085,VI,2022,8,11.0,R08,5,221 TU 70,2022-08-19,3.96,2022-05-01,2022,RC2,RC2,3,0.0,0.27,0.0,5,5,0,0,0.0,Green,Green,Green,137,Small
IV20228RGM 00-6125,IV,2022,8,6.0,R2,5,116 TU 53,2022-08-19,6.68,2022-05-01,2022,RC1,RC1,3,0.98,1.72,0.0,5,6,0,160,5.0,Green,Red,Green,130,Medium
IV20228RGM 00-6125,IV,2022,8,6.0,R2,5,118 TU 58,2022-08-19,7.09,2022-05-01,2022,RC1,RC1,3,1.96,0.54,0.0,5,6,0,160,5.0,Red,Green,Green,130,Big
VI20228RGM 01-12065,VI,2022,8,15.0,R06,5,181 TU 60,2022-08-19,3.64,2022-05-01,2022,RC1,RC1,3,0.0,0.0,0.0,5,0,0,0,0.0,Green,Green,Green,137,Small
VI20228RGM 02-1085,VI,2022,8,11.0,R08,5,223 TU 67,2022-08-19,5.22,2022-05-01,2022,RC2,RC2,3,0.0,1.22,0.0,5,5,0,0,0.0,Green,Green,Green,137,Medium
VI20228RGM 02-1085,VI,2022,8,11.0,R08,5,227 TU 69,2022-08-19,3.09,2022-05-01,2022,RC2,RC2,3,0.0,0.43,0.0,5,5,0,0,0.0,Green,Green,Green,137,Small
VI20228RGM 02-1085,VI,2022,8,11.0,R08,5,221 TU 72,2022-08-19,4.65,2022-05-01,2022,RC2,RC2,3,0.0,0.0,0.0,5,5,0,0,0.0,Green,Green,Green,137,Medium
VI20228RGM 02-1085,VI,2022,8,11.0,R08,5,220 TU 70,2022-08-19,4.24,2022-05-01,2022,RC2,RC2,3,0.0,0.0,0.0,5,5,0,0,0.0,Green,Green,Green,137,Medium
VI20228RGM 01-12065,VI,2022,8,18.0,R06,5,211 TU 63,2022-08-19,2.06,2022-05-01,2022,PC,PC,3,0.0,0.0,0.0,5,0,0,0,0.0,Green,Green,Green,137,Small
I20228RGM 02-1085,I,2022,8,29.0,R08,5,47 BS 36,2022-08-19,3.68,2022-05-01,2022,PC,PC,3,6.12,5.76,0.0,5,5,11,0,0.0,Red,Red,Green,143,Small
IV20228GMP 55,IV,2022,8,10.0,GMP 5,5,167 TU 63,2022-08-19,5.5,2022-05-01,2022,PC,PC,3,1.35,0.27,0.0,5,5,0,160,2.0,Green,Green,Green,130,Medium
IV20228RGM 02-1085,IV,2022,8,11.0,R08,5,174 TU 63,2022-08-19,6.32,2022-05-01,2022,RC2,RC2,3,2.25,0.44,0.0,5,5,0,200,9.0,Red,Green,Green,130,Medium
