Nama Blok,Umur,Divisi,Varietas Tebu,Kawasan,Tanggal Pengamatan,Luas Tanah Produktif (Ha),Bulan Tanam,Category,Stem Borer,Top Borer,Scale Insect,Dosis pias,Dosis lalat,Dosis telenomus,Dosis Tetras,Dosis cecopet,Curah hujan (mm)_extended,Tahun,Bulan Pengamatan,Curah hujan (mm)
02 BS 15,11,II,GMP 5,17.0,2023-04-20,6.94,2022-05-01,PC,3.55,12.92,142.8,7.0,0.0,0.0,106.0,0.0,175.0,2023,4,175
133 BS 03,3,V,GMP 5,22.0,2022-08-08,6.69,2022-05-01,PC,0.0,2.98,0.0,5.0,5.0,0.0,102.0,10.1,234.0,2022,8,234
133 BS 03,4,V,GMP 5,22.0,2022-09-09,6.69,2022-05-01,PC,4.27,13.86,0.0,5.0,5.0,0.0,100.0,10.0,108.0,2022,9,108
133 BS 03,5,V,GMP 5,22.0,2022-10-07,6.69,2022-05-01,PC,1.38,5.79,0.05,5.0,5.0,0.0,100.0,10.0,315.0,2022,10,315
133 BS 03,6,V,GMP 5,22.0,2022-11-07,6.69,2022-05-01,PC,2.25,7.49,0.4,5.0,5.0,0.0,106.0,0.0,314.0,2022,11,314
133 BS 03,7,V,GMP 5,22.0,2022-12-07,6.69,2022-05-01,PC,3.85,7.89,0.5,5.0,5.0,0.0,102.0,0.0,241.0,2022,12,241
133 BS 03,8,V,GMP 5,22.0,2023-01-15,6.69,2022-05-01,PC,1.24,1.57,3.4,5.0,5.0,0.0,170.0,0.0,225.0,2023,1,225
133 BS 03,9,V,GMP 5,22.0,2023-02-08,6.69,2022-05-01,PC,2.99,3.06,100.75,5.0,5.0,3.0,108.0,0.0,286.0,2023,2,286
133 BS 03,10,V,GMP 5,22.0,2023-03-17,6.69,2022-05-01,PC,3.9,9.04,32.3,5.0,5.0,10.0,0.0,10.3,494.0,2023,3,494
133 BS 03,11,V,GMP 5,22.0,2023-04-14,6.69,2022-05-01,PC,4.27,7.46,100.0,7.0,5.0,10.0,170.0,9.0,168.0,2023,4,168
29 BS 28,3,II,GMP 5,19.0,2022-08-08,6.71,2022-05-01,RC1,3.49,3.44,0.0,5.0,5.0,6.0,90.0,10.0,120.0,2022,8,120
29 BS 28,4,II,GMP 5,19.0,2022-09-08,6.71,2022-05-01,RC1,0.87,10.99,0.0,5.0,5.0,0.0,90.0,10.3,53.0,2022,9,53
29 BS 28,5,II,GMP 5,19.0,2022-10-09,6.71,2022-05-01,RC1,2.65,13.69,0.2,5.0,5.0,0.0,101.0,10.3,295.0,2022,10,295
29 BS 28,6,II,GMP 5,19.0,2022-11-10,6.71,2022-05-01,RC1,3.17,20.99,0.1,5.0,5.0,0.0,140.0,10.0,194.0,2022,11,194
29 BS 28,7,II,GMP 5,19.0,2022-12-10,6.71,2022-05-01,RC1,3.02,27.05,0.05,5.0,5.0,0.0,105.0,10.0,163.0,2022,12,163
29 BS 28,8,II,GMP 5,19.0,2023-01-15,6.71,2022-05-01,RC1,4.8,41.84,1.4,5.0,5.0,0.0,100.0,0.0,140.0,2023,1,140
29 BS 28,9,II,GMP 5,19.0,2023-02-08,6.71,2022-05-01,RC1,3.0,16.35,52.1,5.0,5.0,0.0,0.0,0.0,249.0,2023,2,249
29 BS 28,10,II,GMP 5,19.0,2023-03-15,6.71,2022-05-01,RC1,3.81,31.73,25.35,5.0,5.0,0.0,100.0,0.0,391.0,2023,3,391
29 BS 28,11,II,GMP 5,19.0,2023-03-01,6.71,2022-05-01,RC1,3.81,31.73,25.35,5.0,5.0,0.0,100.0,0.0,391.0,2023,3,391
15 BS 10,3,II,GMP 5,16.0,2022-08-08,11.51,2022-05-01,PC,2.35,1.15,0.0,5.0,5.0,6.0,90.0,10.0,120.0,2022,8,120
15 BS 10,4,II,GMP 5,16.0,2022-09-10,11.51,2022-05-01,PC,0.0,2.83,0.0,5.0,5.0,0.0,90.0,10.3,53.0,2022,9,53
15 BS 10,5,II,GMP 5,16.0,2022-10-09,11.51,2022-05-01,PC,2.04,2.34,0.0,5.0,5.0,0.0,101.0,10.3,295.0,2022,10,295
15 BS 10,6,II,GMP 5,16.0,2022-11-08,11.51,2022-05-01,PC,1.55,6.45,0.05,5.0,5.0,0.0,140.0,10.0,194.0,2022,11,194
15 BS 10,7,II,GMP 5,16.0,2022-12-08,11.51,2022-05-01,PC,1.47,5.11,0.05,5.0,5.0,0.0,105.0,10.0,163.0,2022,12,163
15 BS 10,8,II,GMP 5,16.0,2023-01-15,11.51,2022-05-01,PC,1.2,4.32,1.15,5.0,5.0,0.0,100.0,0.0,140.0,2023,1,140
15 BS 10,9,II,GMP 5,16.0,2023-02-10,11.51,2022-05-01,PC,2.46,3.77,1.25,5.0,5.0,0.0,0.0,0.0,249.0,2023,2,249
15 BS 10,10,II,GMP 5,16.0,2023-03-17,11.51,2022-05-01,PC,2.76,3.77,108.5,5.0,5.0,0.0,100.0,0.0,391.0,2023,3,391
15 BS 10,11,II,GMP 5,16.0,2023-04-19,11.51,2022-05-01,PC,2.81,21.09,91.85,7.0,0.0,0.0,106.0,0.0,175.0,2023,4,175
225 TU 65,3,VI,GMP 5,19.0,2022-08-08,3.6,2022-05-01,RC2,0.0,2.4,0.0,5.0,5.0,0.0,0.0,0.0,137.0,2022,8,137
225 TU 65,4,VI,GMP 5,19.0,2022-09-06,3.6,2022-05-01,RC2,0.0,3.27,0.0,5.0,5.0,0.0,0.0,0.0,81.0,2022,9,81
225 TU 65,5,VI,GMP 5,19.0,2022-10-07,3.6,2022-05-01,RC2,6.52,3.46,0.0,7.0,5.0,0.0,0.0,0.0,285.0,2022,10,285
225 TU 65,6,VI,GMP 5,19.0,2022-11-05,3.6,2022-05-01,RC2,3.7,1.79,0.0,5.0,5.0,0.0,0.0,0.0,259.0,2022,11,259
225 TU 65,7,VI,GMP 5,19.0,2022-12-06,3.6,2022-05-01,RC2,0.0,14.24,0.0,5.0,5.0,0.0,0.0,0.0,172.0,2022,12,172
225 TU 65,8,VI,GMP 5,19.0,2023-01-15,3.6,2022-05-01,RC2,1.39,2.34,2.33,5.0,5.0,0.0,0.0,0.0,271.0,2023,1,271
225 TU 65,9,VI,GMP 5,19.0,2023-02-11,3.6,2022-05-01,RC2,3.53,1.09,11.67,5.0,5.0,0.0,0.0,0.0,372.0,2023,2,372
225 TU 65,10,VI,GMP 5,19.0,2023-03-14,3.6,2022-05-01,RC2,1.1,1.1,5.5,5.0,5.0,0.0,0.0,0.0,537.0,2023,3,537
225 TU 65,11,VI,GMP 5,19.0,2023-03-01,3.6,2022-05-01,RC2,1.1,1.1,5.5,5.0,5.0,0.0,0.0,0.0,537.0,2023,3,537
229 TU 65,3,VI,GMP 5,19.0,2022-08-08,5.28,2022-05-01,RC2,0.0,1.8,0.0,5.0,5.0,0.0,0.0,0.0,137.0,2022,8,137
229 TU 65,4,VI,GMP 5,19.0,2022-09-06,5.28,2022-05-01,RC2,0.0,4.94,0.0,5.0,5.0,0.0,0.0,0.0,81.0,2022,9,81
229 TU 65,5,VI,GMP 5,19.0,2022-10-07,5.28,2022-05-01,RC2,5.19,3.43,0.0,7.0,5.0,0.0,0.0,0.0,285.0,2022,10,285
229 TU 65,6,VI,GMP 5,19.0,2022-11-05,5.28,2022-05-01,RC2,1.06,3.02,0.0,5.0,5.0,0.0,0.0,0.0,259.0,2022,11,259
229 TU 65,7,VI,GMP 5,19.0,2022-12-06,5.28,2022-05-01,RC2,0.95,13.24,0.0,5.0,5.0,0.0,0.0,0.0,172.0,2022,12,172
229 TU 65,8,VI,GMP 5,19.0,2023-01-15,5.28,2022-05-01,RC2,3.45,1.79,20.3,5.0,5.0,0.0,0.0,0.0,271.0,2023,1,271
229 TU 65,9,VI,GMP 5,19.0,2023-02-11,5.28,2022-05-01,RC2,1.36,0.45,36.3,5.0,5.0,0.0,0.0,0.0,372.0,2023,2,372
229 TU 65,10,VI,GMP 5,19.0,2023-03-14,5.28,2022-05-01,RC2,0.65,1.58,91.5,5.0,5.0,0.0,0.0,0.0,537.0,2023,3,537
